22:42:45.079 om.example.taxi              AssetManager2(0x7a3335df35d8) locale list changing from [] to [en-US]
22:42:45.133 ashmem                       Pinning is deprecated since Android Q. Please use trim or other methods.
22:42:45.190 FirebaseSessions             Initializing Firebase Sessions SDK.
22:42:45.202 FirebaseInitProvider         FirebaseApp initialization successful
22:42:45.237 CompatChangeReporter         Compat change id reported: 312399441; UID 10217; state: ENABLED
22:42:45.316 CompatChangeReporter         Compat change id reported: 279646685; UID 10217; state: ENABLED
22:42:45.327 om.example.taxi              hiddenapi: Accessing hidden method Ldalvik/system/VMStack;->getStackClass2()Ljava/lang/Class; (runtime_flags=0, domain=core-platform, api=unsupported) from Lm7/aom; (domain=app) using reflection: allowed
22:42:45.384 om.example.taxi              hiddenapi: Accessing hidden method Landroid/view/WindowManagerGlobal;->getInstance()Landroid/view/WindowManagerGlobal; (runtime_flags=0, domain=platform, api=unsupported) from Lcurtains/internal/WindowManagerSpy$windowManagerInstance$2; (domain=app) using reflection: allowed
22:42:45.409 om.example.taxi              hiddenapi: Accessing hidden field Landroid/view/WindowManagerGlobal;->mViews:Ljava/util/ArrayList; (runtime_flags=0, domain=platform, api=unsupported) from Lcurtains/internal/WindowManagerSpy$mViewsField$2; (domain=app) using reflection: allowed
22:42:45.410 om.example.taxi              hiddenapi: Accessing hidden field Landroid/app/ActivityThread;->mH:Landroid/app/ActivityThread$H; (runtime_flags=0, domain=platform, api=unsupported) from Lleakcanary/ServiceWatcher; (domain=app) using reflection: allowed
22:42:45.410 om.example.taxi              hiddenapi: Accessing hidden method Landroid/app/ActivityThread;->currentActivityThread()Landroid/app/ActivityThread; (runtime_flags=0, domain=platform, api=unsupported) from Lleakcanary/ServiceWatcher$activityThreadInstance$2; (domain=app) using reflection: allowed
22:42:45.410 om.example.taxi              hiddenapi: Accessing hidden field Landroid/os/Handler;->mCallback:Landroid/os/Handler$Callback; (runtime_flags=0, domain=platform, api=unsupported) from Lleakcanary/ServiceWatcher; (domain=app) using reflection: allowed
22:42:45.411 om.example.taxi              hiddenapi: Accessing hidden field Landroid/util/Singleton;->mInstance:Ljava/lang/Object; (runtime_flags=0, domain=platform, api=unsupported) from Lleakcanary/ServiceWatcher; (domain=app) using reflection: allowed
22:42:45.411 om.example.taxi              hiddenapi: Accessing hidden method Landroid/util/Singleton;->get()Ljava/lang/Object; (runtime_flags=0, domain=platform, api=unsupported) from Lleakcanary/ServiceWatcher; (domain=app) using reflection: allowed
22:42:45.412 om.example.taxi              hiddenapi: Accessing hidden field Landroid/app/ActivityManager;->IActivityManagerSingleton:Landroid/util/Singleton; (runtime_flags=0, domain=platform, api=unsupported) from Lleakcanary/ServiceWatcher; (domain=app) using reflection: allowed
22:42:45.600 om.example.taxi              No package ID 6a found for resource ID 0x6a0b000f.
22:42:45.621 FA                           App measurement initialized, version: 136000
22:42:45.621 FA                           To enable debug logging run: adb shell setprop log.tag.FA VERBOSE
22:42:45.621 FA                           To enable faster debug mode event logging run:
                                            adb shell setprop debug.firebase.analytics.app com.example.taxi
22:42:45.869 FirebaseCrashlytics          No version control information found
22:42:45.938 FirebaseAuth                 Notifying id token listeners about user ( 0bcn9Z5endM7OfZqIryUswAGJM93 ).
22:42:45.972 TaxiApplication              Timber initialized successfully
22:42:45.973 TaxiApplication              Initializing Firebase at application startup
22:42:45.974 TaxiApplication              Firebase initialized successfully
22:42:45.975 TaxiApplication              Application instance created
22:42:45.984 LifecycleServiceBinder       Binding service to application.
22:42:46.021 Choreographer                Skipped 42 frames!  The application may be doing too much work on its main thread.
22:42:46.068 DisplayManager               Choreographer implicitly registered for the refresh rate.
22:42:46.098 om.example.taxi              AssetManager2(0x7a3335deac58) locale list changing from [] to [en-US]
22:42:46.134 MainActivity                 Application startup: Initializing main activity
22:42:46.178 CompatChangeReporter         Compat change id reported: 309578419; UID 10217; state: ENABLED
22:42:46.185 DesktopModeFlags             Toggle override initialized to: OVERRIDE_UNSET
22:42:46.376 AppInitManager               Starting app initialization sequence
22:42:46.377 AnalyticsManager             Logged event: app_initialization_started with params: {}
22:42:46.379 AppInitManager               Initializing Analytics
22:42:46.380 AppInitManager               Initializing Firebase
22:42:46.386 AppInitManager               Initializing Notifications
22:42:46.386 NotificationService          Creating notification channels
22:42:46.388 AppInitManager               Initializing Location Services
22:42:46.389 LocationService              Preparing location service components
22:42:46.399 AnalyticsManager             Set user property: app_version = 1.0
22:42:46.399 AnalyticsManager             Set user property: app_version_code = 1
22:42:46.399 AnalyticsManager             Set user property: device_model = sdk_gphone64_x86_64
22:42:46.399 AnalyticsManager             Set user property: android_version = 16
22:42:46.399 AnalyticsManager             Common analytics properties set
22:42:46.402 MainActivity                 Lifecycle: MainActivity is being resumed
22:42:46.402 AnalyticsManager             Logged event: app_foreground with params: {}
22:42:46.402 TaxiApplication              App came to foreground
22:42:46.403 SessionLifecycleClient       Queued message 1. Queue size 1
22:42:46.405 CompatChangeReporter         Compat change id reported: 352594277; UID 10217; state: ENABLED
22:42:46.406 AnalyticsManager             Logged event: app_foreground with params: {}
22:42:46.414 LeakCanary                   LeakCanary is running and ready to detect memory leaks.
22:42:46.434 CompatChangeReporter         Compat change id reported: 349153669; UID 10217; state: ENABLED
22:42:46.442 LocationService              Location service components prepared
22:42:46.450 EGL_emulation                Opening libGLESv1_CM_emulation.so
22:42:46.460 EGL_emulation                Opening libGLESv2_emulation.so
22:42:46.461 om.example.taxi              hiddenapi: Accessing hidden field Lcom/android/internal/policy/DecorView;->mWindow:Lcom/android/internal/policy/PhoneWindow; (runtime_flags=0, domain=platform, api=unsupported) from Lcurtains/internal/WindowSpy$windowField$2; (domain=app) using reflection: allowed
22:42:46.478 HWUI                         Unknown dataspace 0
22:42:46.514 FA                           Tag Manager is not found and thus will not be used
22:42:46.544 HWUI                         Failed to choose config with EGL_SWAP_BEHAVIOR_PRESERVED, retrying without...
22:42:46.548 HWUI                         Failed to initialize 101010-2 format, error = EGL_SUCCESS
22:42:46.787 SessionLifecycleService      Service created on process 2649
22:42:46.788 SessionLifecycleService      Service bound to new client on process 2649
22:42:46.791 CompatChangeReporter         Compat change id reported: 311402873; UID 10217; state: ENABLED
22:42:46.793 AppInitManager               App initialization completed successfully
22:42:46.793 CompatChangeReporter         Compat change id reported: 323349338; UID 10217; state: ENABLED
22:42:46.802 AnalyticsManager             Logged event: app_initialization_completed with params: {}
22:42:46.806 SessionLifecycleService      App has not yet foregrounded. Using previously stored session.
22:42:46.807 SessionLifecycleService      Client android.os.Messenger@a64456a bound at 105999. Clients: 1
22:42:47.155 MainActivity                 UI: Setting up navigation structure
22:42:50.106 LoginViewModel               User login status initialized: true
22:42:50.246 LoginScreen                  User Flow: User viewing login/registration screen
